,clusterNumber100,boundId,unboundId,bound_TechExp,unbound_TechExp,classification
10,797,6RUI_A,4YM7_FA 4C3H_A 5G5L_A 4YM7_BA 5N60_A 4YM7_DA 5M3M_A 5LMX_A 4C3J_A 4YM7_CA 5N5Y_A 4C3I_A 5M5W_A 5N5Z_A 4YM7_EA 6HLS_A 4YM7_AA,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transcription,transferase transcription rna polymerase"
11,968,6DVE_C 6DVD_C 5ZX2_C,7KIM_C 5UH6_C 7KIN_C 6FBV_C 5UH5_C 7KIF_C 5ZX3_C 5UH8_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transferase/dna, transferase/dna transcription/dna/rna,transcription/dna/rna/antibiotic transcription transcription, transcription/dna/rna"
12,972,3IYD_H,3RYP_A 1G6N_A 4N9I_A 4FT8_A 4FT8_B 4N9I_C 3HIF_C 4N9I_D 3RYR_A 4N9I_B 2WC2_A 3HIF_B 4N9H_A 1I5Z_B 3HIF_E 3HIF_A 2GZW_D 4N9H_B 3RYP_B 1I5Z_A 3HIF_F 3HIF_D 2WC2_B 3RYR_B 2GZW_C 1G6N_B 2GZW_A 2GZW_B,ELECTRON MICROSCOPY,X-RAY DIFFRACTION SOLUTION NMR,"transcription transcription activator dna binding protein transcription regulator,transcription/dna"
13,1107,6GMH_B 6GML_B 5OIK_B,7B7U_B,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,transcription
14,1140,4FJX_A,3SPZ_A 3SPY_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,transferase/dna
15,1142,2P5G_B,3RMC_C 3RMC_A 3RMB_B 3RMC_B 3SQ1_A 3RMA_D 3SQ2_A 2ATQ_A 3RMB_D 3RMB_C 3RMA_C 3RMB_A 3RMD_C 3RMC_D 3RMA_B 3RMA_A 3RMD_D 3RMD_B 3RMD_A 3SQ4_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase/dna,transferase/dna transferase/dna binding protein"
17,1247,1KDH_A,1JMS_A 1KEJ_A 4I2D_A 4I2J_A 4QZA_A 4IQT_A 4QZ8_A 4IQU_A 4QZB_A 4QZ9_A 4I2I_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase/dna,transferase transferase/dna transferase/transferase inhibitor"
18,1302,6VVZ_F 6VW0_F 6EE8_F 6EDT_F 6EEC_F,5UH8_F 5UH5_F 6C05_F 6C06_F 5UH6_F 6FBV_F,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transcription/dna, transcription,transcription/dna/rna/antibiotic transcription transcription/dna/rna transcription/antibiotic,transferase/dna,transferase/dna/antibiotic"
19,1331,6Z9Q_a 6Z9T_f 6Z9S_f 6Z9R_f,6WA8_C 6WA8_D 6WA8_B 6WA8_E 6WA8_A 6WA8_F,ELECTRON MICROSCOPY,X-RAY DIFFRACTION,"transcription, hydrolase"
20,1371,5C5J_F,6IG1_F 4Q43_F 4Q43_A 6IG1_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase/dna dna binding protein,transferase/dna"
21,1417,6SKO_3,3JC6_3 6WGI_3 5BK4_3 5U8S_3 6WGG_3 6WGC_3 6PTJ_3 6PTN_j 3JC7_3 3JA8_3 6WGF_3 3JC5_3 5U8T_3 6PTO_3 6PTO_G 5BK4_B 6PTN_3 6PTO_i,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"replication/dna hydrolase/dna hydrolase replication,replication"
22,1418,6SKO_7,6WGF_7 6PTN_n 6PTO_7 6WGI_7 5U8S_7 3JA8_7 5BK4_7 6PTO_m 3JC5_7 3JC7_7 6PTN_7 6PTO_iA 6PTJ_7 6WGG_7 5BK4_F 3JC6_7 6WGC_7 5U8T_7,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"replication/dna hydrolase/dna hydrolase replication,replication"
23,1469,6RO4_B,5OF4_B 6O9M_0,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"transcription,translocase"
24,1497,3KK1_A,6WPJ_A 6WPF_A 6WPH_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,transferase/dna
25,1503,6SKO_2,5BK4_2 5BK4_A 6PTO_F 3JA8_2 6PTO_h 5U8S_2 6PTJ_2 5U8T_2 6WGF_2 3JC7_2 3JC6_2 6PTN_i 6PTO_2 6WGG_2 6WGI_2 3JC5_2 6PTN_2,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"replication/dna hydrolase/dna hydrolase replication,replication"
26,1504,6SKO_5,5BK4_D 6PTN_l 3JC5_5 6PTN_5 6PTO_5 3JC7_5 6WGF_5 5BK4_5 6PTJ_5 6PTO_I 6WGI_5 6WGG_5 5U8T_5 5U8S_5 3JA8_5 3JC6_5 6PTO_k,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"replication/dna hydrolase/dna hydrolase replication,replication"
27,1505,6SKO_6,3JA8_6 5BK4_E 6PTN_m 3JC6_6 6WGG_6 6WGF_6 6WGI_6 6PTJ_6 5U8T_6 5U8S_6 6PTN_6 6PTO_6 3JC5_6 5BK4_6 6PTO_l 3JC7_6 6PTO_hA,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"replication/dna hydrolase/dna hydrolase replication,replication"
28,1602,6SKO_4,6PTO_j 5U8T_4 3JC7_4 3JA8_4 6PTN_4 6WGF_4 3JC5_4 6WGI_4 3JC6_4 6PTJ_4 5BK4_4 5BK4_C 6PTO_H 6WGG_4 6PTO_4 6PTN_k,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"replication/dna hydrolase/dna hydrolase replication,replication"
30,1845,5W65_P,5N5Z_Q 5N5Y_Q 5O7X_Q 5O7X_K 5O7X_E 5O7X_N 5O7X_B 5O7X_H 5N60_Q,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transcription,transferase transcription"
31,1938,3V6D_A 3V6D_C,5TXM_A 5TXL_A 5TXL_C 5TXM_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION,transferase/dna
32,1966,4A8F_B,1UVK_A 1HHT_P 5FJ7_C 1HHT_Q 1HHS_A 1HHT_R 1HI1_A 1HI0_P 1HI8_A 1UVK_E 1HI0_Q 1UVK_C 5FJ6_A 1HI1_C 1HI1_B 1HI0_R 1HHS_B 1HI8_B 1HHS_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transferase,transferase transcription rna polymerase viral protein"
33,2021,6GML_A,7B7U_A,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,transcription
34,2069,6CND_A 6CNC_A 6CNB_A 6CNF_A,5FJ9_A 5FJA_A 6EU3_A 6TUT_A 6EU2_A,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"transcription,transcription/dna"
35,2070,6CNC_B 6CNF_B,5FJ9_B 5FJA_B 6EU3_B 6EU2_B 6TUT_B,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"transcription,transcription/dna"
37,2255,1W36_C 1W36_F 7MR3_C 3K70_F 3K70_C 7MR4_C,5LD2_C 7MR0_C 5MBV_C 7MR2_C 7MR1_C,"X-RAY DIFFRACTION, ELECTRON MICROSCOPY",ELECTRON MICROSCOPY,"hydrolase/dna, recombination,hydrolase dna binding protein"
38,2268,7MR3_D 3K70_G,7MR0_D 7MR1_D 5MBV_D 7MR2_D 5LD2_D,"X-RAY DIFFRACTION, ELECTRON MICROSCOPY",ELECTRON MICROSCOPY,"hydrolase/dna,hydrolase dna binding protein"
39,2311,6W7A_A,5CZN_A 5WFW_A 5WFZ_A 7KBC_A 5WEI_A 5DBS_A 5DEB_A 5VQN_A 5WF3_A 5WFM_A 5WG9_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/hydrolase inhibitor viral protein hydrolase,viral protein/dna"
40,2390,3ZH2_B,4B7U_C 1U5C_A 1T25_A 4B7U_A 1U4S_A 4B7U_B 1U4O_A 1U5A_A 2A94_A 4B7U_D 1T26_A 1T2C_A 1T2D_A 1T24_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,oxidoreductase
42,2462,6CUU_F 5X22_F 5X22_P,2A6H_F 2CW0_P 2A6E_F 3EQL_P 3EQL_F 2BE5_F 2A6H_P 1ZYR_F 5TMC_F 1ZYR_P 2CW0_F 2BE5_P 2A6E_P 2A69_P 2A68_P 2A69_F 2A68_F,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase/dna,transferase transcription, transcription/dna/antibiotic"
43,2532,6X75_A 6X6Z_A 2AQ4_A,5WMB_A 5WM1_A 5WM8_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"replication/dna,transferase/dna, transferase"
45,2722,3NAE_A 3QNN_A 3LZI_A,3SUQ_A 3SUN_A 3SUP_A 3SUO_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,transferase/dna
47,2831,5N96_A 5N96_B 5N98_A 5N98_B 5N8S_A 5N8S_B 5N8U_A 5N8U_B 5N8Z_A 5N8Z_B 5N8R_A 5N8R_B 5N90_A 5N90_B,5N94_B 5N94_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,hydrolase
50,3322,5ZAD_B 5ZAD_A,3QX3_B 4J3N_A 4J3N_B 3QX3_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein/dna,isomerase/dna/isomerase inhibitor isomerase/dna"
51,3511,1QLN_A 1S76_D,2PI5_A 4RNP_C 4RNP_A 4RNP_B 2PI4_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase/dna nucleotidyltransferase, nucleotidyltransferase"
52,3571,2ES2_A,1NMF_A 6SZZ_A 1CSQ_A 2F52_A 1CSP_A 1NMG_A 6T00_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION SOLUTION NMR,"gene regulation,transcription regulation dna binding protein/transcription structural protein"
54,3665,6EDT_C,6C06_C 6C05_C,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,"transcription/dna,transcription/antibiotic transcription"
56,4542,4DPV_Z,2CAS_A 1C8H_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"virus,virus/dna"
59,4815,7C97_C,3LU0_C 5UI8_I,ELECTRON MICROSCOPY,X-RAY DIFFRACTION ELECTRON MICROSCOPY,"transferase/dna,transferase transcription"
60,4871,1W36_B 1W36_E 3K70_E 3K70_B 7MR4_B,7MR2_B 7MR0_B 5MBV_B 7MR1_B,"X-RAY DIFFRACTION, ELECTRON MICROSCOPY",ELECTRON MICROSCOPY,"hydrolase/dna, recombination,hydrolase dna binding protein"
61,5082,5ZX2_F,5ZX3_F,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription,transcription/dna/rna"
62,5209,6S3P_A 6S3M_A 6S3M_B 6S3O_A 6S3I_A 6S3H_B 6S3H_A 6S3N_A 6S3N_B,6S3E_B 6S3E_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,hydrolase
63,5286,3G2C_B 3G2C_A,3G0A_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
64,5769,7LFQ_A,1UC2_B 1UC2_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"ligase,ligase/dna"
65,5950,3KQN_A 3KQL_A 3KQL_B 3KQH_B 3KQH_A,5E4F_B 5E4F_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
66,5960,5YWV_B 5YWT_A,2IOC_A 3MXJ_B 3MXJ_A 2IOC_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION," dna binding protein/dna,dna binding protein,hydrolase"
67,5978,5HTO_E 5HTO_B 5HRU_B,2AA3_C 6TXR_C 6TXR_B 5HS4_A 2A92_C 2A92_A 6TXR_D 2AA3_D 2A92_B 2AA3_A 2AA3_B 6TXR_A 2A92_D,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"oxidoreductase/dna,oxidoreductase dna"
68,6243,4XLS_L 4XLS_F,5TJG_F,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase/dna,transcription"
70,6314,4H5Q_B 4H5Q_A 4H5Q_C,3LYF_C 3LYF_A 3LYF_D 3LYF_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"viral protein/dna,viral protein"
71,6565,2O19_B 2O59_B,1D6M_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"isomerase,isomerase/dna"
72,6569,1QX0_A,4PCB_A 4PCB_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION,transferase/dna
73,6683,5H9E_C,4QYZ_C 4TVX_K 4TVX_J 4QYZ_B 4TVX_V 4TVX_W,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"immune system/dna/rna hydrolase/rna,immune system/rna"
74,6769,5Y3J_A 5Y3J_B 5Y3K_A 5Y3K_B 5Y3L_A 5Y3L_B,3WPB_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,immune system"
75,6904,5H9E_A 5H9F_A,4TVX_I 4QYZ_A 4TVX_U,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"immune system/dna/rna hydrolase/rna,immune system/rna"
76,6905,5H9E_I 5H9F_I,4QYZ_E 4QYZ_I 4TVX_N 4QYZ_F 4QYZ_D 4TVX_E 4TVX_S 4TVX_C 4TVX_P 4TVX_R 4TVX_G 4TVX_O 4TVX_D 4TVX_B 4TVX_Q 4QYZ_G 4TVX_F 4QYZ_H,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"immune system/dna/rna hydrolase/rna,immune system/rna"
77,6906,5H9E_J 5H9F_J,4TVX_H 4TVX_T 4QYZ_J,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"immune system/dna/rna hydrolase/rna,immune system/rna"
78,8368,4A8Q_C 4A8Y_C 4A8S_C 4A8S_B,4A8O_C 4A8O_A 4A8O_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transferase,transferase/dna"
79,8444,6CQ2_A 6CQI_A,5UJY_A 5UJY_B 5UJ1_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"isomerase,isomerase/dna"
80,8765,1BJ6_A,1ESK_A,SOLUTION NMR,SOLUTION NMR,"viral protein/dna,viral protein"
81,8974,5ZE2_C,4WWX_B 4WWX_E,X-RAY DIFFRACTION,X-RAY DIFFRACTION," ligase,hydrolase,dna binding protein"
82,9114,4HQX_A 4HQU_A,1PDG_A 1PDG_B 4QCI_D 6T9E_DDD 4QCI_C 1PDG_C 6T9E_CCC,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hormone/dna,growth factor cytokine/cytokine receptor immune system"
84,9555,2L45_A,1NCP_C 2L44_A,SOLUTION NMR,SOLUTION NMR,"viral protein/dna,metal binding protein viral protein"
85,9569,4A75_A 4A75_G 4A75_C 4A75_E 4A76_A 4A76_C 4A76_G 4A76_E,3ULJ_A 3ULJ_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,chaperone/dna"
86,9963,7B0F_A 7B0H_E 7B0H_F,7B07_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,dna binding protein
87,10201,2C62_A 2C62_B,1PCF_G 2PHE_A 2PHE_B 1PCF_D 1PCF_A 1PCF_E 1PCF_H 1PCF_F 1PCF_B 1PCF_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION SOLUTION NMR,transcription
88,10573,6JDG_B 6JDG_A,5YUN_D 5YUN_C 5YUO_B 5YUO_C 5YUN_B 5YUO_D 5YUN_A 5YUO_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
89,10629,7C9C_B 7C9C_A 7C9C_C,1V5W_B 1V5W_A,ELECTRON MICROSCOPY,X-RAY DIFFRACTION,"recombination/dna,recombination"
90,11321,6P4F_A 6P4F_C,6P4W_C 5TNU_A 5TNU_B 6P4O_A 6P4W_A 6P4O_E 6P4O_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription hydrolase/dna binding protein,hydrolase/dna"
91,11359,4KI2_A,1KU2_A 1KU2_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription,transcription/dna"
97,14044,2HAX_B 2HAX_A,1HZB_B 1C9O_A 1C9O_B 1HZB_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription,gene regulation/dna"
100,15654,6QEM_B 6QEM_D 6QEM_E 6QEM_F 6QEM_A 6QEM_C,6QEL_F 6BBM_A 6BBM_C 6BBM_F 6QEL_C 6BBM_E 6BBM_B 6BBM_D 6QEL_B 6QEL_D 6QEL_A 6QEL_E,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,replication
104,16497,1ZZJ_B 1ZZJ_A 1ZZI_A 1ZZI_B,1ZZK_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"structural protein/dna,dna binding protein"
106,17174,3GP8_A,3E1S_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
107,17461,3SZ5_A,3SYY_A 3SZ4_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
108,17895,7LW8_A 7LW9_A,7LW7_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
