,clusterNumber100,boundId,unboundId,bound_TechExp,unbound_TechExp,classification
74,25485,5ZYU_B 5ZYU_A,5ZYW_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
75,26147,5CHI_B 5CHI_C 5CHI_A,4O8U_B 4O8U_E 4O8U_D 4O8U_C 4O8U_A 4O8U_F,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,unknown function"
76,26634,1S40_A,1KXL_A,SOLUTION NMR,SOLUTION NMR,"cell cycle,cell cycle/dna"
77,27415,4PSO_D 4PSO_C 4PSO_I 4PSO_H 4PSO_A 4PSO_B 4PSO_F,4PSN_C 4PSN_B 4PSN_D 4PSN_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,dna binding protein
78,28835,1JMC_A,1FGU_B 1FGU_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"replication/dna,replication"
79,31837,1MW8_X,1MW9_X,X-RAY DIFFRACTION,X-RAY DIFFRACTION,isomerase
80,32210,5ZG9_A,4AGH_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein/dna,transcription"
81,32559,1ZVV_B 1ZVV_A 1ZVV_G,2JCG_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription/dna,transcription"
82,32754,2P6R_A,2P6U_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
83,33173,3UDG_A 3UDG_B 3UDG_C,1SE8_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
84,33723,2VYE_A 2VYE_B,2VYF_A 2VYF_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
85,33909,1EYG_A 1EYG_B 1EYG_C 1EYG_D,1SRU_A 1SRU_C 1SRU_D 1SRU_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"replication/dna,replication"
86,34214,5EAN_A,5EAW_B 5EAW_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
